ID,Name,Description,ColumnSpec,category,type,unit,source_comment,changes,comment
EA001,Subsistence economy: gathering,"Dependence on the gathering of wild plants and small land fauna, relative to other subsistence activities.",,"Subsistence, Economy",Ordinal,,Murdock (1962-1971); Gray (1999),,
EA002,Subsistence economy: hunting,"Dependence on hunting, including trapping and fowling, relative to other subsistence activities.",,"Subsistence, Economy",Ordinal,,Murdock (1962-1971); Gray (1999),,
EA003,Subsistence economy: fishing,"Dependence on fishing, including shellfishing and the pursuit of large aquatic animals, relative to other subsistence activities.",,"Subsistence, Economy",Ordinal,,Murdock (1962-1971); Gray (1999),,
EA004,Subsistence economy: animal husbandry,"Dependence on animal husbandry, relative to other subsistence activities.",,"Subsistence, Economy",Ordinal,,Murdock (1962-1971); Gray (1999),,
EA005,Subsistence economy: agriculture,"Dependence on agriculture, relative to other subsistence activities.",,"Subsistence, Economy",Ordinal,,Murdock (1962-1971); Gray (1999),,
EA006,Transactions at marriage: prevailing type,Prevailing type of transfer or exchange at marriage.,,"Marriage, Kinship, Wealth Transactions, Economy",Categorical,,Murdock (1962-1971); Gray (1999),,
EA007,Transactions at marriage: alternate type,"Alternative types of transfer or exchange at marriage, or supplementary practices.",,"Marriage, Kinship, Wealth Transactions, Economy",Categorical,,Murdock (1962-1971); Gray (1999),,
EA008,Domestic organization,The prevailing form of domestic or familial organization.,,"Marriage, Kinship",Categorical,,Murdock (1962-1971); Gray (1999),,
EA009,Marital composition: monogamy and polygamy,"Marital composition of family units, regardless of whether families live as independent nuclear units or as part of larger extended families.",,"Marriage, Kinship",Categorical,,Murdock (1962-1971); Gray (1999),,
EA010,Marital residence with kin: first years,"Pattern of marital residence in the first years or so of marriage. The variable ""Marital residence with kin: change after first years"" indicates whether or not this differs from the pattern of marital residence in later years.",,"Marriage, Kinship",Categorical,,Murdock (1962-1971); Gray (1999),"Recoded to be a ""stand alone"" variable. Now, societies for which code was ""not different than later years"" have this information spelled out, using detailed codes of Gray's v12, which describes the pattern of marital residence in later years. Note also that two codes were added for ""Uv"" and ""Vu"" based on Murdock's note under the Ambilocal code. Specifically: ""The symbols Uv or Vu are used to denote, respectively, a marked preponderance of uxorilocal or virilocal practice [in ambilocal residence]. That is, cases of ambilocal residence where the actual frequency of uxorilocal vs. virilocal residence exceeds the other by a ratio greater than two to one. ","Codes for ""first years"" in Murdock do not include options for Matrilocal/Patrilocal; it is not clear if these are contained in Uxorilocal/Virilocal. In the case of the ""Marital residence (prevailing pattern)"" variable Matrilocal/Patrilocal are distinguished by Uxorilocal/Virilocal (with the latter being ""confined to instances where the wife's [husband's] matrikin [patrikin] are not aggregated in matrilocal and matrilineal [patrilocal and matrilineal] kin groups"". If comparing with v10 with v12, users may wish to look into this further and/or group Matri/Uxori and Patri/Viri in v12. "
